smiles,target_name,pActivity,activity_nM,target_chembl_id
CCCCCCCN(CC)CC#CCCc1ccccc1,KCNH2,5.357139947415508,4394.0,CHEMBL240
CCCCCCCN(CC)CC#CCOC(c1ccccc1)c1ccccc1,KCNH2,6.013228265733755,970.0,CHEMBL240
CCCCCCCN(CC)CC#CCOCc1ccc(Cl)cc1,KCNH2,6.078833949362261,834.0,CHEMBL240
CCCCCCCN(CC)CC#CCOc1ccc(Cl)cc1,KCNH2,6.421673945037883,1265.5,CHEMBL240
CCCCCCCN(CC)CC#CCc1ccc(C)cc1,KCNH2,5.293282217663242,5090.0,CHEMBL240
CCCCCCCN(CC)CC#CCc1ccc(Cl)cc1,KCNH2,7.186393906253336,434.95,CHEMBL240
CCCCCCCN(CC)CC#CCc1ccccc1,KCNH2,5.450628847666823,3543.0,CHEMBL240
CCCCCCCN(CC)CC#Cc1ccc(Cl)cc1,KCNH2,5.3893398369101195,4080.0,CHEMBL240
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,KCNH2,7.698970004336019,20.0,CHEMBL240
CCCCCCCN(CC)CCCCCc1ccc(Cl)cc1,KCNH2,6.910094888560602,123.0,CHEMBL240
CCCCCCCN(CC)CCCCc1ccc(Cl)cc1,KCNH2,7.866531544420413,23.65,CHEMBL240
CCCCCCCN(CC)CCCCc1ccc([N+](=O)[O-])cc1,KCNH2,8.0,10.0,CHEMBL240
CCCCCCCN(CC)CCCCc1ccccc1,KCNH2,6.2958494831602,506.0,CHEMBL240
CCCCCCCN1CCC(C(=O)c2ccccc2)CC1,KCNH2,6.906578314837764,124.0,CHEMBL240
CCCCCCCN1CCC(Cc2ccccc2)CC1,KCNH2,7.236572006437063,58.0,CHEMBL240
CCCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.202040356262804,6280.0,CHEMBL203
CCCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.140861702705469,7230.0,CHEMBL203
CCCCCCC[N+](CC)(CC)C/C=C/Cc1ccc(Cl)cc1.[I-],KCNH2,8.823908740944319,1.5,CHEMBL240
CCCCCCC[N+](CC)(CC)CC#Cc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,KCNH2,7.3979400086720375,40.0,CHEMBL240
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,KCNH2,6.823908740944319,150.0,CHEMBL240
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.Cc1ccc(S(=O)(=O)[O-])cc1,KCNH2,8.0,26.0,CHEMBL240
CCCCCCNC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.059981844992336,8710.0,CHEMBL203
CCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,EGFR,6.045757490560675,900.0,CHEMBL203
CCCCCCNC(=O)n1cc(F)c(=O)[nH]c1=O,CYP2D6,5.301029995663981,5000.0,CHEMBL289
CCCCCCOC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,EGFR,5.0400051616715835,9120.0,CHEMBL203
CCCCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,EGFR,6.97469413473523,106.0,CHEMBL203
CCCCCCOc1cccc(C(F)(F)CNCC(=O)N(C)C)c1,CYP2D6,4.422508200162775,37800.0,CHEMBL289
CCCCCCOc1cccc(CCNCC(=O)N(C)C)c1,CYP2D6,6.045757490560675,900.0,CHEMBL289
CCCCCOc1cccc(CCNCC(=O)N(C)C)c1,CYP2D6,5.455931955649724,3500.0,CHEMBL289
CCCCC[C@@H](Cc1ccc(C(=O)NCCC(=O)O)cc1)C(=O)c1cc2cc(Cl)ccc2n1-c1cccc(C(F)(F)F)c1,KCNH2,5.431798275933005,3700.0,CHEMBL240
CCCCN(CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1)CCCC,EGFR,7.769551078621726,17.0,CHEMBL203
CCCCN(CC#CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1)CCCC,EGFR,7.3979400086720375,40.0,CHEMBL203
CCCCN(CC)C/C=C/CCc1ccc(Cl)cc1,KCNH2,5.728623128105926,1868.0,CHEMBL240
CCCCN(CC)C/C=C/Cc1ccc(Cl)cc1,KCNH2,5.948076083953893,1127.0,CHEMBL240
CCCCN(CC)C/C=C/c1ccc(Cl)cc1,KCNH2,5.978810700930062,1050.0,CHEMBL240
CCCCN(CC)CC#CC#Cc1ccc(Cl)cc1,KCNH2,5.664116674283261,5201.0,CHEMBL240
CCCCN(CC)CC#CCCc1ccc(C)cc1,KCNH2,5.252588192113577,5590.0,CHEMBL240
CCCCN(CC)CC#CCCc1ccc(Cl)cc1,KCNH2,5.221342368052644,6007.0,CHEMBL240
CCCCN(CC)CC#CCOC(c1ccccc1)c1ccccc1,KCNH2,5.317854923626168,4810.0,CHEMBL240
CCCCN(CC)CC#CCOCc1ccc(Cl)cc1,KCNH2,5.132414673452963,7372.0,CHEMBL240
CCCCN(CC)CC#CCOc1ccc(Cl)cc1,KCNH2,4.8403425887522955,14443.0,CHEMBL240
CCCCN(CC)CC#CCc1ccc(C)cc1,KCNH2,5.459670525209127,3470.0,CHEMBL240
CCCCN(CC)CC#CCc1ccc(Cl)cc1,KCNH2,5.576099081471583,2654.0,CHEMBL240
CCCCN(CC)CC#CCc1ccccc1,KCNH2,5.106793246940152,7820.0,CHEMBL240
CCCCN(CC)CCCCCc1ccc(Cl)cc1,KCNH2,5.6020599913279625,2500.0,CHEMBL240
CCCCN(CCCC)C(=O)c1ccc(N(CCCl)CCCl)cc1,EGFR,4.506123889147177,31180.0,CHEMBL203
CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,KCNH2,5.757586815457779,4238.5,CHEMBL240
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,KCNH2,7.200918472996538,78.66666666666667,CHEMBL240
CCCCN(CCc1ccc(Cl)c(Cl)c1)C[C@H](O)COc1ccc(NS(C)(=O)=O)cc1,KCNH2,7.154901959985743,70.0,CHEMBL240
CCCCN(Cc1cc(Br)cc(Br)c1O)C(=S)Nc1ccccc1,EGFR,4.495665088197536,31940.0,CHEMBL203
CCCCN(Cc1cc(Cl)cc(Cl)c1O)C(=S)Nc1ccccc1,EGFR,4.6081830763867515,24650.0,CHEMBL203
CCCCN(Cc1cccc(Br)c1O)C(=O)Nc1ccccc1,EGFR,4.433209087618408,36880.0,CHEMBL203
CCCCN(Cc1cccc(Br)c1O)C(=S)Nc1ccccc1,EGFR,4.656788409820253,22040.0,CHEMBL203
CCCCN(Cc1cccc(C)c1O)C(=S)Nc1ccccc1,EGFR,4.3644157336887694,43210.0,CHEMBL203
CCCCN(Cc1cccc(Cl)c1O)C(=O)Nc1ccccc1,EGFR,4.493224463393357,32120.0,CHEMBL203
CCCCN(Cc1cccc(Cl)c1O)C(=S)Nc1ccccc1,EGFR,4.741841806659206,18120.0,CHEMBL203
CCCCN(c1ccc(OC)cc1)c1nc(C)nc2oc(C)cc12,EGFR,6.468393368067278,340.1,CHEMBL203
CCCCN1CCC2(CC1)OC(OC)c1c2cnn1-c1ccccc1,KCNH2,9.187086643357144,0.65,CHEMBL240
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,CYP2D6,6.3979400086720375,400.0,CHEMBL289
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,KCNH2,3.9627879939229773,256000.0,CHEMBL240
CCCCN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C.Cl,KCNH2,3.585047475413616,372666.6666666667,CHEMBL240
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,CYP2D6,6.706858516549069,196.4,CHEMBL289
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,KCNH2,4.352247601773044,96750.0,CHEMBL240
CCCCNC(=O)C1c2ccccc2C(=O)N1CC(C)c1ccc(Cl)cc1,KCNH2,4.494850021680094,32000.0,CHEMBL240
CCCCNC(=O)c1ccc(N(CCCl)CCCl)cc1,EGFR,4.641874714723351,22810.0,CHEMBL203
CCCCNC(=O)c1ccc(S(=O)(=O)Oc2ccc(/C=C/[N+](=O)[O-])cc2)cc1,EGFR,5.309894379144197,4900.0,CHEMBL203
CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,EGFR,5.356547323513812,4400.0,CHEMBL203
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,EGFR,6.096910013008056,800.0,CHEMBL203
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1.Cl,EGFR,6.096910013008056,800.0,CHEMBL203
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C,EGFR,5.119186407719209,7600.0,CHEMBL203
CCCCOC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1C.Cl,EGFR,5.119186407719209,7600.0,CHEMBL203
