smiles,pred_pActivity,pred_uncertainty,pred_conservative,pred_offmax,selectivity,makeability,combined_score,parent_smiles
CNc1cccc(Nc2ncnc3cc(Cl)ccc23)c1,7.636647,0.0,7.636647,5.8663034,1.7703438,0.9166666666666667,0.79923743,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
COc1nccn1CCCCOc1ccc2c(Nc3cccc(-c4ccccn4)c3)ncnc2c1,7.6752825,4.7683716e-07,7.675282,5.8336406,1.8416419,0.8611111111111112,0.7990744,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CCOc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4OC)ccc23)c1,7.7253737,4.7683716e-07,7.7253733,5.961506,1.7638679,0.888888888888889,0.7989404,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CCOc1ccc2c(Nc3cccc(CC)c3)ncnc2c1,7.611505,4.7683716e-07,7.6115046,5.830485,1.7810202,0.9166666666666667,0.79891443,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
Cc1cc2ncnc(Nc3cccc(-c4ccccn4)c3)c2cn1,7.455966,4.7683716e-07,7.4559655,5.5426445,1.9133215,0.888888888888889,0.7985472,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
CCc1ccc2c(Nc3cccc(NC)c3)ncnc2c1,7.607853,0.0,7.607853,5.8386374,1.7692156,0.9166666666666667,0.79769903,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
CCc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4S(C)(=O)=O)ccc23)c1,7.613469,4.7683716e-07,7.6134686,5.8057423,1.8077269,0.888888888888889,0.79718286,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CCOc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCCCC4)cc23)c1,7.7547045,0.0,7.7547045,6.0319695,1.7227349,0.888888888888889,0.7968079,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CCOc1cccc(Nc2ncnc3cnc(C#N)cc23)c1,7.4794526,0.0,7.4794526,5.647898,1.8315544,0.9166666666666667,0.7967337,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
COc1cccc(Nc2ncnc3cnc(Cl)cc23)c1,7.7780523,4.7683716e-07,7.778052,6.1179132,1.6601391,0.9166666666666667,0.7966647,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
N#Cc1cccc(Nc2ncnc3cc(Cl)ccc23)c1,7.4847383,0.0,7.4847383,5.6571374,1.827601,0.9166666666666667,0.796652,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N
Cc1cccc(Nc2ncnc3cc(-c4ccccc4)ccc23)c1,7.571883,0.0,7.571883,5.747692,1.8241911,0.888888888888889,0.79654425,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
Cc1ccc2c(Nc3cccc(-c4ccccc4)c3)ncnc2c1,7.571883,0.0,7.571883,5.747692,1.8241911,0.888888888888889,0.79654425,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC
CC(C)c1cccc(Nc2ncnc3cc(S(C)(=O)=O)ccc23)c1,7.469528,0.0,7.469528,5.635699,1.8338294,0.9166666666666667,0.7964365,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O
Cc1cccc(Nc2ncnc3cc(-c4cnccn4)ccc23)c1,7.3988295,4.7683716e-07,7.398829,5.4866962,1.9121332,0.888888888888889,0.7955864,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1
CNc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCN(Br)CC4)cc23)c1,7.599931,4.7683716e-07,7.5999303,5.8054748,1.794456,0.888888888888889,0.7953447,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1
c1cc(Nc2ncnc3cnc(-c4cnccn4)cc23)cc(-c2cnccn2)c1,7.330954,4.7683716e-07,7.3309536,5.3463936,1.9845605,0.8611111111111112,0.7943634,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
COc1nccn1CCCCOc1ccc2c(Nc3cccc(N(C)C)c3)ncnc2c1,7.6727057,0.0,7.6727057,5.936129,1.7365766,0.888888888888889,0.7939191,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
Cc1cccc(Nc2ncnc3ccc(NC(=O)CCN4CCCCC4)cc23)c1,7.6527276,0.0,7.6527276,5.905461,1.7472668,0.888888888888889,0.79385555,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CCc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4Br)ccc23)c1,7.7545958,0.0,7.7545958,6.066933,1.6876626,0.888888888888889,0.7937336,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CS(=O)(=O)c1cccc(Nc2ncnc3cnc(C#N)cc23)c1,7.426133,0.0,7.426133,5.5993085,1.8268247,0.9166666666666667,0.79365385,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
N#Cc1nccn1CCCCOc1ccc2c(Nc3cccc(-c4cccnc4)c3)ncnc2c1,7.6825438,4.7683716e-07,7.6825433,5.915648,1.7668958,0.8611111111111112,0.7928972,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CC(C)c1cccc(Nc2ncnc3cnc(F)cc23)c1,7.5654907,0.0,7.5654907,5.827809,1.7376819,0.9166666666666667,0.7928217,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
COc1nccn1CCCCOc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1,7.724622,4.7683716e-07,7.7246213,6.0325255,1.6920962,0.888888888888889,0.7926228,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
CCc1ccc2c(Nc3cccc(N(C)C)c3)ncnc2c1,7.461772,0.0,7.461772,5.668714,1.7930579,0.9166666666666667,0.7924812,Nc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N
Brc1cccc(Nc2ncnc3cnc(-c4ccccn4)cc23)c1,7.404525,0.0,7.404525,5.531687,1.872838,0.888888888888889,0.7924329,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1
c1ccc(-c2cccc(Nc3ncnc4cc(-c5ccccn5)ncc34)c2)cc1,7.4607873,0.0,7.4607873,5.572512,1.8882751,0.8611111111111112,0.7924301,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
COc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4-c4ccccc4)ccc23)c1,7.8446226,4.7683716e-07,7.844622,6.178219,1.6664038,0.8611111111111112,0.7922081,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1
