smiles,target_name,pActivity,activity_nM,target_chembl_id
C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,ERBB2,4.667359589612538,21510.0,CHEMBL1824
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR,8.113509274827518,7.7,CHEMBL203
C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,EGFR,5.790484985457369,1620.0,CHEMBL203
C/C=C/C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,ERBB2,5.346787486224656,4500.0,CHEMBL1824
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,7.343784372205637,122.35,CHEMBL203
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,ERBB2,4.039410319116046,91325.0,CHEMBL1824
C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,6.570247719997592,269.0,CHEMBL203
C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,ERBB2,4.664401703466997,21657.0,CHEMBL1824
C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,EGFR,5.096910013008056,8000.0,CHEMBL203
C/N=N/Nc1ccc2ncnc(NCc3ccccc3)c2c1,EGFR,6.474955192963154,335.0,CHEMBL203
C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,7.4089353929735005,39.0,CHEMBL203
C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,EGFR,6.698970004336019,200.0,CHEMBL203
C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,EGFR,7.0,100.0,CHEMBL203
C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR,7.356547323513812,44.0,CHEMBL203
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,7.132840159570496,177.5,CHEMBL203
C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,ERBB2,4.817072030763008,15238.0,CHEMBL1824
C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,EGFR,6.251811972993799,560.0,CHEMBL203
C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)c(C#N)cnc2cc1OCC,ERBB2,5.917214629683549,1210.0,CHEMBL1824
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1.Cl,EGFR,6.173925197299173,670.0,CHEMBL203
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,EGFR,6.7447274948966935,180.0,CHEMBL203
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1.Cl,EGFR,6.154901959985743,700.0,CHEMBL203
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,EGFR,6.327902142064282,470.0,CHEMBL203
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,EGFR,6.638272163982407,230.0,CHEMBL203
C=C(CN(C)C)C(=O)c1ccccc1.Cl,EGFR,5.251811972993799,5600.0,CHEMBL203
C=C(CN1CCCCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,EGFR,5.958607314841775,1100.0,CHEMBL203
C=C(CN1CCNCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,EGFR,5.823908740944319,1500.0,CHEMBL203
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,EGFR,5.568636235841012,2700.0,CHEMBL203
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,ERBB2,5.357535479757878,4390.0,CHEMBL1824
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,6.97061622231479,107.0,CHEMBL203
C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,ERBB2,6.339134521996131,458.0,CHEMBL1824
C=C(CN1CCOCC1)C(=O)c1ccc(OCc2ccccc2)cc1.Cl,EGFR,5.958607314841775,1100.0,CHEMBL203
C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR,7.568636235841012,27.0,CHEMBL203
C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,6.920818753952375,120.0,CHEMBL203
C=CC(=O)N(C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,EGFR,7.377243666092925,54.0,CHEMBL203
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR,6.806875401645538,156.0,CHEMBL203
C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,EGFR,6.7121982700697735,194.0,CHEMBL203
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,EGFR,5.641684359917804,2282.0,CHEMBL203
C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1,ERBB2,8.098271442175793,8.65,CHEMBL1824
C=CC(=O)N1CCC([C@@H]2CCNC3C(C(N)=O)C(c4ccc(Oc5ccccc5)cc4)=NN32)CC1,ERBB4,8.161150909262744,6.9,CHEMBL3009
